Tag,Ovid,Juvenal 6
A-ADVERB,0.3011,0.2075
A-DO,9.1196,13.582
A-DO_AP,0.3011,0.1779
A-DO_CO,1.2432,3.1138
A-DO_OBJ-CO,0.0231,0.0
A-EXCLAM,0.0463,0.0889
A-EXCLAM_AP,0.0077,0.0
A-EXCLAM_CO,0.0,0.0593
A-EXTENT,0.5173,0.5931
A-EXTENT_AP,0.0077,0.0
A-EXTENT_CO,0.1312,0.0593
A-INTOBJ,0.2471,0.6227
A-INTOBJ_CO,0.0694,0.1482
A-ORIENT,1.2586,1.3048
A-ORIENT_AP,0.0540,0.0
A-ORIENT_CO,0.1235,0.2075
A-PRED,0.2007,0.5041
A-PRED_CO,0.0,0.0593
A-RESPECT,0.0540,0.0
A-SUBJ,0.6254,0.5041
A-SUBJ_AP,0.0154,0.0296
A-SUBJ_CO,0.0540,0.0593
AB-ABSOL,1.1274,3.2028
AB-ABSOL_CO,0.0386,0.2372
AB-ACCOMP,0.3243,0.3855
AB-ACCOMP_AP,0.0,0.0593
AB-AGENT,0.0926,0.1186
AB-CAUSE,0.5714,0.6227
AB-CAUSE_AP,0.0154,0.0
AB-CAUSE_CO,0.0926,0.1186
AB-CAUSE_ExD0_PRED,0.0,0.0296
AB-COMPAR,0.4633,0.4151
AB-COMPAR_CO,0.0540,0.0593
AB-DECRIP,0.0231,0.2372
AB-DECRIP_CO,0.0,0.0296
AB-DEGDIF,0.0463,0.0889
AB-LOCAT,1.8764,2.6097
AB-LOCAT_AP,0.0077,0.0
AB-LOCAT_CO,0.1081,0.2669
AB-MANN,1.3745,1.7793
AB-MANN_CO,0.0926,0.2669
AB-MEANS,1.0115,1.0379
AB-MEANS_CO,0.1312,0.2372
AB-ORIENT,1.0270,1.2158
AB-ORIENT_CO,0.0231,0.0889
AB-PRICE,0.0231,0.0889
AB-PRICE_CO,0.0154,0.0
AB-RESPECT,0.3088,0.5041
AB-RESPECT_AP,0.0,0.0889
AB-RESPECT_CO,0.0772,0.1186
AB-SEPAR,0.2471,0.0593
AB-SEPAR_CO,0.0154,0.0
ADJ-RC,1.4749,2.6690
ADJ-RCCHAR,0.1544,0.3558
ADJ-RCCHAR_CO,0.0463,0.0593
ADJ-RCCHAR_OBJ,0.0231,0.0889
ADJ-RCCHAR_PRED,0.0077,0.0
ADJ-RCCHAR_SBJ,0.0154,0.0296
ADJ-RC_CO,0.4633,1.0972
ADJ-RC_OBJ,0.0308,0.0889
ADJ-RC_OBJ-AP,0.0077,0.0
ADJ-RC_OBJ-CO,0.0308,0.1186
ADJ-RC_PRED,0.0231,0.0296
ADJ-RC_PRED-AP,0.0,0.0296
ADJ-RC_PRED-CO,0.0,0.0593
ADJ-RC_SBJ,0.1003,0.5041
ADJ-RC_SUBJ-CO,0.0694,0.2372
ADV,7.3050,9.6975
ADV-CAUSAL,0.1621,0.1779
ADV-CAUSAL_CO,0.0463,0.1779
ADV-CIRCUMS,0.0463,0.1779
ADV-CIRCUMS_CO,0.0154,0.1482
ADV-COMPAR,0.4478,0.7710
ADV-COMPAR_CO,0.1158,0.1482
ADV-CONCESS,0.1776,0.3262
