Relation,Ovid,Vergil
A-ADVERB,0.3198,0.3260
A-DO,8.0196,8.1618
A-DO_AP,0.3198,0.6520
A-DO_CO,1.3202,2.3721
A-DO_OBJ-CO,0.0246,0.0
A-EXCLAM,0.0410,0.0112
A-EXCLAM_AP,0.0082,0.0
A-EXTENT,0.4018,0.9443
A-EXTENT_AP,0.0082,0.0
A-EXTENT_CO,0.1394,0.2023
A-INTOBJ,0.1886,0.1686
A-INTOBJ_CO,0.0738,0.0674
A-ORIENT,1.1480,1.3153
A-ORIENT_AP,0.0574,0.0786
A-ORIENT_CO,0.1312,0.1349
A-PRED,0.2132,0.1798
A-PRED_CO,0.0,0.0224
A-RESPECT,0.0574,0.1461
A-RESPECT_CO,0.0,0.0674
A-SUBJ,0.5904,0.5396
A-SUBJ_AP,0.0164,0.0224
A-SUBJ_CO,0.0574,0.1011
AB-ABSOL,1.1562,0.8319
AB-ABSOL_AP,0.0,0.0224
AB-ABSOL_CO,0.0410,0.0224
AB-ACCOMP,0.3444,0.1686
AB-ACCOMP_AP,0.0,0.0224
AB-AGENT,0.0984,0.0337
AB-AGENT_CO,0.0,0.0112
AB-CAUSE,0.4920,0.6408
AB-CAUSE_AP,0.0164,0.0
AB-CAUSE_CO,0.0984,0.0674
AB-COMPAR,0.4346,0.0674
AB-COMPAR_CO,0.0574,0.0
AB-DECRIP,0.0246,0.1461
AB-DEGDIF,0.0492,0.0112
AB-LOCAT,1.8696,2.0236
AB-LOCAT_AP,0.0082,0.0
AB-LOCAT_CO,0.1148,0.1686
AB-MANN,1.3612,1.5851
AB-MANN_AP,0.0,0.0112
AB-MANN_CO,0.0984,0.2585
AB-MEANS,0.9348,1.4165
AB-MEANS_CO,0.1394,0.2136
AB-ORIENT,1.0660,1.2591
AB-ORIENT_CO,0.0246,0.0899
AB-PRICE,0.0082,0.0224
AB-PRICE_CO,0.0164,0.0
AB-RESPECT,0.2460,0.2922
AB-RESPECT_CO,0.0820,0.1573
AB-SEPAR,0.2460,0.1798
AB-SEPAR_CO,0.0164,0.0449
ADJ-RC,0.9020,0.7982
ADJ-RCCHAR,0.0820,0.0449
ADJ-RCCHAR_CO,0.0492,0.0224
ADJ-RCCHAR_OBJ,0.0246,0.0
ADJ-RCCHAR_PRED,0.0082,0.0
ADJ-RCCHAR_SBJ,0.0164,0.0112
ADJ-RCINDSTAT,0.0,0.0224
ADJ-RCINDSTAT_CO,0.0,0.0224
ADJ-RC_CO,0.4920,0.5059
ADJ-RC_OBJ,0.0328,0.0224
ADJ-RC_OBJ-AP,0.0082,0.0112
ADJ-RC_OBJ-CO,0.0328,0.0
ADJ-RC_PRED,0.0246,0.0
ADJ-RC_PRED-CO,0.0,0.0224
ADJ-RC_SBJ,0.1066,0.0562
ADJ-RC_SUBJ-AP,0.0,0.0112
ADJ-RC_SUBJ-CO,0.0738,0.0
ADV,7.7326,6.8465
ADV-CAUSAL,0.1230,0.0449
ADV-CAUSAL_CO,0.0492,0.0899
ADV-CIRCUMS,0.0328,0.0337
ADV-CIRCUMS_CO,0.0164,0.0899
ADV-COMPAR,0.3526,0.1124
ADV-COMPAR_CO,0.1230,0.1686
ADV-CONCESS,0.1722,0.0449
ADV-CONCESS_CO,0.0164,0.0449
ADV-CONSEC,0.0328,0.0
ADV-PROTAS,0.4756,0.2248
ADV-PROTAS_CO,0.0902,0.2922
ADV-PROVISO_CO,0.0574,0.0
ADV-PURP,0.1476,0.0224
ADV-PURP_CO,0.0082,0.1911
ADV-RCPURP,0.0,0.0337
ADV-RCRESULT,0.0082,0.0
ADV-RESULT,0.0246,0.0
ADV-TEMPOR,0.4018,0.2023
ADV-TEMPOR_CO,0.3526,0.7419
ADV_CO,0.0246,0.0674
APOS,0.6560,1.0567
APOS_CO,0.0328,0.0
ATR,13.940,15.761
ATR_AP,0.0,0.0112
ATR_CO,1.0988,0.7532
Aux,0.0246,0.0
AuxC,2.3124,1.6750
AuxG,1.8286,1.2703
AuxK,6.3960,6.7453
AuxP,4.0180,3.8336
AuxP_CO,0.0738,0.0224
AuxV,0.7626,0.1911
AuxX,9.2578,10.702
AuxY,0.5412,0.4159
Aux_CO,0.0,0.0112
COORD,9.9548,10.905
D-AGENT,0.1968,0.1236
D-INTER,0.8528,0.6632
D-INTER_AP,0.0,0.0224
D-INTER_CO,0.0246,0.0449
D-IO,0.7708,0.5845
D-IO_AP,0.0164,0.0112
D-IO_CO,0.0410,0.0449
D-POSS,0.2296,0.2136
D-PURP,0.0246,0.0449
D-REFER,0.8364,0.6632
D-REFER_CO,0.0492,0.0449
G-CHAR,0.0082,0.0112
G-CHARGE,0.0082,0.0
G-DESC,0.2952,0.2473
G-DESC_CO,0.0492,0.0224
G-MATER,0.0246,0.0337
G-MATER_CO,0.0,0.0224
G-OBJEC,0.6724,0.4272
G-OBJEC_CO,0.0410,0.1573
G-PART,0.2378,0.2360
G-PART_CO,0.0,0.0224
G-POSS,2.3288,2.6869
G-POSS_AP,0.0328,0.1236
G-POSS_CO,0.1066,0.1461
INF-COMP,0.8364,0.4159
INF-COMP_AP,0.0082,0.0
INF-COMP_CO,0.1312,0.4047
INF-COMP_OBJ,0.0,0.0224
INF-COMP_OBJ-CO,0.0,0.0337
INF-EXCLAM,0.0,0.0112
INF-EXCLAM_CO,0.0,0.0224
INF-EXPL,0.0246,0.0
INF-PURP,0.0,0.0112
INF-PURP_CO,0.0,0.0224
INTERJ,0.0,0.0112
INTRJ,0.1886,0.4159
INTRJ_CO,0.0,0.0337
INTRJ_OBJ,0.0082,0.0
L-LOCAT,0.0082,0.0337
N-PRED,1.8614,0.7982
N-PRED_AP,0.0164,0.0337
N-PRED_CO,0.2214,0.1798
N-SUBJ,9.6104,8.2743
